"","id","GDPINH_2016"
"989","FRY1",21800
"990","FRY10",21800
"991","FRY2",23100
"992","FRY20",23100
"993","FRY3",15300
"994","FRY30",15300
"995","FRY4",21100
"996","FRY40",21100
"997","FRY5",9000
"998","FRY50",9000
"999","HR",11200
"1000","HR0",11200
"1001","HR03",10900
"1002","HR031",13700
"1003","HR032",8200
"1004","HR033",9200
"1005","HR034",8600
"1006","HR035",8800
"1007","HR036",14500
"1008","HR037",11700
"1009","HR04",11300
"1010","HR041",20400
"1011","HR042",8500
"1012","HR043",7200
"1013","HR044",9400
"1014","HR045",8600
"1015","HR046",9400
"1016","HR047",7400
"1017","HR048",5900
"1018","HR049",6000
"1019","HR04A",6000
"1020","HR04B",8600
"1021","HR04C",6200
"1022","HR04D",8100
"1023","HR04E",7500
"1024","HU",11800
"1025","HU1",17900
"1026","HU11",23800
"1027","HU110",23800
"1028","HU12",9600
"1029","HU120",9600
"1030","HU2",10800
"1031","HU21",11300
"1032","HU211",12400
"1033","HU212",12200
"1034","HU213",9000
"1035","HU22",12900
"1036","HU221",15800
"1037","HU222",11600
"1038","HU223",9100
"1039","HU23",7900
"1040","HU231",7700
"1041","HU232",7400
"1042","HU233",9000
"1043","HU3",7900
"1044","HU31",7900
"1045","HU311",8300
"1046","HU312",8700
"1047","HU313",5200
"1048","HU32",7500
"1049","HU321",8200
"1050","HU322",7700
"1051","HU323",6600
"1052","HU33",8500
"1053","HU331",9100
"1054","HU332",7200
"1055","HU333",8800
"1056","IE",57000
"1057","IE0",57000
"1058","IE04",25800
"1059","IE041",20700
"1060","IE042",30200
"1061","IE05",67000
"1062","IE052",34000
"1063","IE06",61500
"1064","IE061",81400
"1065","IE062",39200
"1066","IE063",22800
"1067","IT",28000
"1068","ITC",34500
"1069","ITC1",29600
"1070","ITC11",31200
"1071","ITC12",26600
"1072","ITC13",26200
"1073","ITC14",23500
"1074","ITC15",28600
"1075","ITC16",31100
"1076","ITC17",24900
"1077","ITC18",27000
"1078","ITC2",36300
"1079","ITC20",36300
"1080","ITC3",30700
"1081","ITC31",23500
"1082","ITC32",26900
"1083","ITC33",34000
"1084","ITC34",29400
"1085","ITC4",37300
"1086","ITC41",29000
"1087","ITC42",27800
"1088","ITC43",29700
"1089","ITC44",29000
"1090","ITC46",31900
"1091","ITC47",32300
"1092","ITC48",23700
"1093","ITC49",26300
"1094","ITC4A",29800
"1095","ITC4B",30200
"1096","ITC4C",53200
"1097","ITC4D",30000
"1098","ITF",18600
"1099","ITF1",24100
"1100","ITF11",24200
"1101","ITF12",23000
"1102","ITF13",24300
"1103","ITF14",24900
"1104","ITF2",19900
"1105","ITF21",19400
"1106","ITF22",20000
"1107","ITF3",18000
"1108","ITF31",16300
"1109","ITF32",16500
"1110","ITF33",18800
"1111","ITF34",17700
"1112","ITF35",18000
"1113","ITF4",18100
"1114","ITF43",17700
"1115","ITF44",17500
"1116","ITF45",16000
"1117","ITF46",17500
"1118","ITF47",20900
"1119","ITF48",15600
"1120","ITF5",21500
"1121","ITF51",23500
"1122","ITF52",18000
"1123","ITF6",16600
"1124","ITF61",15400
"1125","ITF62",16400
"1126","ITF63",19600
"1127","ITF64",15200
"1128","ITF65",16600
"1129","ITG",17900
"1130","ITG1",17100
"1131","ITG11",15700
"1132","ITG12",18100
"1133","ITG13",17600
"1134","ITG14",14500
"1135","ITG15",14900
"1136","ITG16",15000
"1137","ITG17",17700
"1138","ITG18",17100
"1139","ITG19",18400
"1140","ITG2",20200
"1141","ITG25",18800
"1142","ITG26",17800
"1143","ITG27",24400
"1144","ITG28",17300
"1145","ITG29",21800
"1146","ITG2A",16600
"1147","ITG2B",15100
"1148","ITG2C",15800
"1149","ITH",33400
"1150","ITH1",44200
"1151","ITH10",44200
"1152","ITH2",36500
"1153","ITH20",36500
"1154","ITH3",31700
"1155","ITH31",33000
"1156","ITH32",32600
"1157","ITH33",31600
"1158","ITH34",31500
"1159","ITH35",30500
"1160","ITH36",32700
"1161","ITH37",24800
"1162","ITH4",30000
"1163","ITH41",29900
"1164","ITH42",29700
"1165","ITH43",26900
"1166","ITH44",32500
"1167","ITH5",34400
"1168","ITH51",31200
"1169","ITH52",36300
"1170","ITH53",34500
"1171","ITH54",37600
"1172","ITH55",39200
"1173","ITH56",26300
"1174","ITH57",31500
"1175","ITH58",31400
"1176","ITH59",29000
"1177","ITI",30500
"1178","ITI1",30000
"1179","ITI11",23700
"1180","ITI12",27300
"1181","ITI13",25300
"1182","ITI14",36700
"1183","ITI15",30700
"1184","ITI16",26400
"1185","ITI17",30300
"1186","ITI18",26300
"1187","ITI19",31400
"1188","ITI1A",24100
"1189","ITI2",24400
"1190","ITI21",25000
"1191","ITI22",22700
"1192","ITI3",26400
"1193","ITI31",26200
"1194","ITI32",29200
"1195","ITI33",24700
"1196","ITI34",24300
"1197","ITI35",24500
"1198","ITI4",32800
"1199","ITI41",20600
"1200","ITI42",17900
"1201","ITI43",37000
"1202","ITI44",21600
"1203","ITI45",21400
"1204","LT",13600
"1205","LT0",13600
"1206","LT01",19700
"1207","LT011",19700
"1208","LT02",11200
"1209","LT021",8500
"1210","LT022",13700
"1211","LT023",13800
"1212","LT024",8100
"1213","LT025",10000
"1214","LT026",10300
"1215","LT027",7400
"1216","LT028",9600
"1217","LT029",8400
"1218","LU",93900
"1219","LU0",93900
"1220","LU00",93900
"1221","LU000",93900
"1222","LV",12900
"1223","LV0",12900
"1224","LV00",12900
"1225","LV003",9600
"1226","LV005",6500
"1227","LV006",21500
"1228","LV007",10500
"1229","LV008",8500
"1230","LV009",8100
"1231","ME",6400
"1232","ME0",6400
"1233","ME00",6400
"1234","ME000",6400
"1235","MK",4700
"1236","MK0",4700
"1237","MK00",4700
"1238","MK001",4900
"1239","MK002",4300
"1240","MK003",3600
"1241","MK004",5600
"1242","MK005",4600
"1243","MK006",2200
"1244","MK007",2700
"1245","MK008",6700
"1246","MT",23200
"1247","MT0",23200
"1248","MT00",23200
"1249","MT001",23900
"1250","MT002",13600
"1251","NL",41600
"1252","NL1",32400
"1253","NL11",40200
"1254","NL111",21500
"1255","NL112",33000
"1256","NL113",48100
"1257","NL12",28500
"1258","NL124",28500
"1259","NL125",24900
"1260","NL126",31000
"1261","NL13",28400
"1262","NL131",27900
"1263","NL132",27400
"1264","NL133",30400
"1265","NL2",34300
"1266","NL21",34500
"1267","NL211",37600
"1268","NL212",33000
"1269","NL213",33000
"1270","NL22",34800
"1271","NL221",37000
"1272","NL224",35300
"1273","NL225",29300
"1274","NL226",35600
"1275","NL23",31100
"1276","NL230",31100
"1277","NL3",47100
"1278","NL31",50400
"1279","NL310",50400
"1280","NL32",54600
"1281","NL321",28200
"1282","NL323",32800
"1283","NL324",29600
"1284","NL325",27700
"1285","NL327",40000
"1286","NL328",31400
"1287","NL329",79800
"1288","NL33",41700
"1289","NL332",43400
"1290","NL333",47300
"1291","NL337",35400
"1292","NL33A",38000
"1293","NL33B",32300
"1294","NL33C",44800
"1295","NL34",33200
"1296","NL341",35900
"1297","NL342",32000
"1298","NL4",40200
"1299","NL41",41800
"1300","NL411",41300
